clip number, source url, accessed, created date
40-1, https://www.youtube.com/watch?v=alY46lqTwtM&t=200s&ab_channel=GlobalNews, 28-01-2023, 25-12-2021
40-2,https://www.youtube.com/watch?v=E6l0ObY2XVM&ab_channel=TheLateShowwithStephenColbert, 28-01-2023, 11-01-2023
40-3, https://www.youtube.com/watch?v=RXo7w9uhSQ0&ab_channel=BBCNews, 28-01-2023, 15-10-2021

41-1,https://www.youtube.com/watch?v=a3ZXKp8esQE&ab_channel=TODAY,28-02-2023,27-02-2020
41-2,https://www.youtube.com/watch?v=Rxt9gdjVWdM&ab_channel=CNBCInternationalTV,28-02-2023,19-02-2020
41-3-1,https://www.youtube.com/watch?v=83t0BAAc5PA&ab_channel=TheLateLateShowwithJamesCorden, 28-02-2023, 01-02-2022
41-3-2,https://www.youtube.com/watch?v=IJxVMuzS-Sw&ab_channel=BritishVogue,28-02-2023, 17-03-2022

42-1-1,https://www.youtube.com/watch?v=h5aSa4tmVNM&t=157s&ab_channel=ABCNews,14-03-2023,28-02-2011
42-1-2,https://www.youtube.com/watch?v=ng5WSbZ9M08&ab_channel=TODAY,14-03-2023,17-11-2015
42-2,https://www.youtube.com/watch?v=Va4wN1c-7b8&ab_channel=Denver7,14-03-2023,27-02-2012

43-1-1,https://www.youtube.com/watch?v=1b3evLfEdjY&ab_channel=JimmyKimmelLive,14-03-2023,7-10-2016
43-1-2,https://www.youtube.com/watch?v=d3H1Zx2Lix0&t=208s&ab_channel=TheView,14-03-2023,22-06-2022
43-2-1,https://www.youtube.com/watch?v=Zp9z05zruWU&ab_channel=TeamCoco,14-03-2023,27-03-2012
43-2-2,https://www.youtube.com/watch?v=RoBhk7lU24A&ab_channel=TheTonightShowStarringJimmyFallon,14-03-2023,07-2-2019
43-2-3,https://www.youtube.com/watch?v=jy0_UnaAG-k&ab_channel=TheLateShowwithStephenColbert,14-03-2023,06-16-2016
43-3-1,https://www.youtube.com/watch?v=AJVV0KVUaT8&ab_channel=JoshHorowitz,14-03-2023,23-11-2022
